ID	Platform	Farm	Breed	Depth	Coverage	RawReads	CleanReads
SHD_39423	LC	SHD	Duroc	1.28151013	0.271980513	17632930	17002218
SHD_40083	LC	SHD	Duroc	1.424309556	0.398063773	21643854	20976648
SHD_40287	LC	SHD	Duroc	1.415292518	0.368852878	27363758	27024826
SHD_40727	LC	SHD	Duroc	1.863832659	0.703401651	27954530	27400914
SHD_40802	LC	SHD	Duroc	1.600584122	0.534772929	23437528	22559738
SHD_41285	LC	SHD	Duroc	1.293027446	0.241454374	16083632	15045086
SHD_41467	LC	SHD	Duroc	1.305983684	0.287249259	19213112	18704166
SHD_41759	LC	SHD	Duroc	1.538130171	0.495485278	29051630	28134852
SHD_41830	LC	SHD	Duroc	1.651516659	0.596356817	20072908	19288678
SHD_42210	LC	SHD	Duroc	1.297370593	0.299401675	17016940	16441588
SHD_42287	LC	SHD	Duroc	1.463749467	0.452341695	21483364	20415566
SHD_42673	LC	SHD	Duroc	1.605911633	0.49256147	23474736	22435678
SHD_42803	LC	SHD	Duroc	1.293764603	0.249072882	16337116	15381826
SHD_42974	LC	SHD	Duroc	1.914494815	0.716729613	27645652	26356842
SHD_43382	LC	SHD	Duroc	1.809418824	0.675024736	27099900	26615954
SHD_43460	LC	SHD	Duroc	1.718338063	0.420103618	24071910	23520118
SHD_43537	LC	SHD	Duroc	1.532574461	0.353082531	18583268	18116770
SHD_43849	LC	SHD	Duroc	1.545938951	0.515695239	21557184	20332854
SHD_44285	LC	SHD	Duroc	3.014244135	0.554720504	30895806	29917898
SHD_44676	LC	SHD	Duroc	1.590911682	0.442762341	27533184	25974070
SHD_44950	LC	SHD	Duroc	2.656603145	0.412657891	20085526	19394870
SHD_44957	LC	SHD	Duroc	1.476663452	0.428834767	33669936	32572630
SHD_45263	LC	SHD	Duroc	1.445107612	0.453914535	24315308	23635268
SHD_45448	LC	SHD	Duroc	1.541028528	0.433803973	18748158	17528112
SHD_45472	LC	SHD	Duroc	2.620055267	0.393469035	18981150	18374022
SHD_45784	LC	SHD	Duroc	2.551517411	0.366346215	17211220	16612836
SHD_46075	LC	SHD	Duroc	1.442065795	0.432946641	26023412	25267834
SHD_46243	LC	SHD	Duroc	1.827216797	0.651559943	25140374	24328816
SHD_46349	LC	SHD	Duroc	2.636004824	0.40436573	19592414	18938146
SHD_46408	LC	SHD	Duroc	1.366281739	0.339360689	21692658	20774364
SHD_46512	LC	SHD	Duroc	1.396286682	0.391057737	23240806	22668776
SHD_46942	LC	SHD	Duroc	1.432625182	0.365402735	24338364	23273380
SHD_47443	LC	SHD	Duroc	2.574361391	0.370890763	17677760	17075320
SHD_47547	LC	SHD	Duroc	1.804127154	0.661150925	24229096	23291862
SHD_47985	LC	SHD	Duroc	1.987179342	0.726752469	29832912	29005784
SHD_48021	LC	SHD	Duroc	2.635051666	0.397973824	19383062	18753968
SHD_744	ULC	SHD	Duroc	1.146913474	0.147429065	5373348	5292580
SHD_1033	ULC	SHD	Duroc	1.190168965	0.127241721	3566064	3456242
SHD_1109	ULC	SHD	Duroc	1.413185036	0.145942863	5659552	5551606
SHD_1183	ULC	SHD	Duroc	1.16302632	0.133748151	3492596	3369416
SHD_1401	ULC	SHD	Duroc	1.19057787	0.242202403	6931252	6855804
SHD_1790	ULC	SHD	Duroc	3.90671691	0.024159989	3459702	3329970
SHD_2009	ULC	SHD	Duroc	1.181408135	0.161919101	4462056	4319082
SHD_2032	ULC	SHD	Duroc	1.216724684	0.152411999	4708850	4610734
SHD_2406	ULC	SHD	Duroc	1.636614164	0.281109694	2142	2032
SHD_3082	ULC	SHD	Duroc	1.227294587	0.170846392	4975052	4783508
SHD_3311	ULC	SHD	Duroc	1.145737041	0.134162401	5549988	5491820
SHD_3336	ULC	SHD	Duroc	1.20374436	0.155519661	4704760	4603976
SHD_3653	ULC	SHD	Duroc	1.110453835	0.122113334	2928556	2798668
SHD_3713	ULC	SHD	Duroc	1.265953607	0.21801454	6684768	6443032
SHD_3782	ULC	SHD	Duroc	1.165161311	0.104438197	2717210	2560408
SHD_3907	ULC	SHD	Duroc	1.168595509	0.177078271	7269346	7197360
SHD_3975	ULC	SHD	Duroc	1.278537937	0.120089381	7180398	7135338
SHD_4124	ULC	SHD	Duroc	1.187115984	0.142164176	4846690	4769326
SHD_4248	ULC	SHD	Duroc	1.237856502	0.119351282	3468126	3333488
SHD_4347	ULC	SHD	Duroc	1.160333913	0.138850866	3803936	3721764
SHD_4355	ULC	SHD	Duroc	1.207394024	0.18981428	5805564	5686086
SHD_4691	ULC	SHD	Duroc	1.233873499	0.174686346	5052506	4921680
SHD_4850	ULC	SHD	Duroc	1.172539973	0.164046435	4440996	4312028
SHD_5323	ULC	SHD	Duroc	1.199258627	0.241464895	20547078	19853838
SHD_5438	ULC	SHD	Duroc	1.13233475	0.093986924	2288598	2168314
SHD_5650	ULC	SHD	Duroc	1.182140763	0.132808987	3596604	3468628
SHD_5883	ULC	SHD	Duroc	1.211250274	0.23966844	8361990	8217796
SHD_6283	ULC	SHD	Duroc	1.160378678	0.189750889	24937962	24075400
SHD_6297	ULC	SHD	Duroc	1.233745467	0.099220609	4285428	4237356
SHD_6629	ULC	SHD	Duroc	1.189558194	0.163098685	5407516	5290984
SHD_6808	ULC	SHD	Duroc	1.261071096	0.16843135	5658698	5559030
SHD_6830	ULC	SHD	Duroc	1.233915291	0.13668446	2613560	2481628
SHD_6844	ULC	SHD	Duroc	1.198110822	0.174894982	5995756	5894646
SHD_7212	ULC	SHD	Duroc	1.285747469	0.300714321	9532514	9280818
SHD_7297	ULC	SHD	Duroc	1.696599266	0.108438805	5815636	5698246
SHD_7372	ULC	SHD	Duroc	1.272274608	0.263686375	9056168	8991108
SHD_7440	ULC	SHD	Duroc	1.212805151	0.140730117	5371480	5300040
SHD_7467	ULC	SHD	Duroc	1.183960253	0.223576425	23991422	23228644
SHD_7593	ULC	SHD	Duroc	1.218132011	0.165993272	4885614	4757464
SHD_7659	ULC	SHD	Duroc	2.16074964	0.086945973	5022072	4861386
SHD_7681	ULC	SHD	Duroc	1.197739566	0.13190273	7034484	6933466
SHD_7723	ULC	SHD	Duroc	1.696393425	0.078506037	6847890	6771774
SHD_7887	ULC	SHD	Duroc	1.199000232	0.134288519	4564544	4491796
SHD_7908	ULC	SHD	Duroc	1.118795996	0.152200576	3973298	3870538
SHD_7933	ULC	SHD	Duroc	1.264976468	0.261143713	8283326	8230038
SHD_7966	ULC	SHD	Duroc	1.232408166	0.25563856	7077024	6822650
SHD_8153	ULC	SHD	Duroc	1.218750208	0.176365452	4985710	4864416
SHD_8367	ULC	SHD	Duroc	1.172202768	0.177411841	4854874	4728000
SHD_8450	ULC	SHD	Duroc	1.267555627	0.278784575	7963528	7708154
SHD_8734	ULC	SHD	Duroc	1.261095358	0.131881994	3760280	3643150
SHD_8968	ULC	SHD	Duroc	2.169918246	0.053899475	4098898	3995230
SHD_9193	ULC	SHD	Duroc	1.151266316	0.136255155	3555174	3438406
SHD_9262	ULC	SHD	Duroc	1.208147707	0.261097395	26737624	25914022
SHD_9297	ULC	SHD	Duroc	1.19404119	0.116724483	5630068	5577374
SHD_9334	ULC	SHD	Duroc	1.414054092	0.082205759	4270992	4159622
SHD_9341	ULC	SHD	Duroc	1.314702871	0.339396891	10855050	10562364
