PC1	PC2	GRP	ID
-0.00548499	0.00112551	SHD	SHD_2257
-0.0079901	-0.000932223	SHD	SHD_2259
-0.00950776	0.000553095	SHD	SHD_2270
-0.00613713	0.000613564	SHD	SHD_2286
-0.0125157	0.0108094	SHD	SHD_2304
-0.0119802	0.00342315	SHD	SHD_2310
-0.00811275	-0.00106052	SHD	SHD_2311
-0.0089799	0.00271526	SHD	SHD_2322
-0.00738939	0.00536398	SHD	SHD_2328
-0.00863874	0.00183235	SHD	SHD_2342
-0.00982629	0.00100097	SHD	SHD_2346
-0.00443754	0.000425824	SHD	SHD_2347
-0.0104879	0.00600829	SHD	SHD_2356
-0.00705488	0.00491032	SHD	SHD_2390
-0.0078743	-0.000885955	SHD	SHD_2406
-0.00733347	0.00223379	SHD	SHD_2423
-0.00869924	0.00424499	SHD	SHD_2453
-0.0123765	0.0044479	SHD	SHD_2455
-0.010823	0.00551704	SHD	SHD_2459
-0.000354399	-0.00763172	SHD	SHD_2461
-0.00898379	0.00486362	SHD	SHD_2467
-0.000100772	-0.00505436	SHD	SHD_2470
-0.00991426	0.00458738	SHD	SHD_2482
-0.00904537	0.00338995	SHD	SHD_2483
0.00883618	-0.00360041	SHD	SHD_2507
-0.00726353	-8.8928e-05	SHD	SHD_2514
-0.00925743	0.00467222	SHD	SHD_2526
-0.00945765	0.00243166	SHD	SHD_2530
-0.00963819	0.00256345	SHD	SHD_2539
-0.0115325	0.00603893	SHD	SHD_2548
-0.0063003	0.00110921	SHD	SHD_2554
-0.0110394	0.00353637	SHD	SHD_2566
-0.00681515	-0.00104982	SHD	SHD_2584
-0.00665601	0.004397	SHD	SHD_2589
-0.0128957	0.00616259	SHD	SHD_2596
-0.00621947	-0.00336038	SHD	SHD_2614
-0.00903314	0.00355659	SHD	SHD_2622
-0.00689675	0.00191726	SHD	SHD_2623
-0.00785823	-0.00069293	SHD	SHD_2632
-0.00966211	0.0025399	SHD	SHD_2663
-0.0103118	0.00491429	SHD	SHD_2671
-0.00984965	0.00398448	SHD	SHD_2684
-0.00442994	-0.000423119	SHD	SHD_2736
-0.0107542	0.00312784	SHD	SHD_2758
-0.00971724	0.00232583	SHD	SHD_2763
-0.00993692	0.00526388	SHD	SHD_2795
-0.00863608	0.00146014	SHD	SHD_2796
-0.00619926	-0.0013131	SHD	SHD_2825
-0.00849241	0.00452458	SHD	SHD_2855
-0.0118493	0.00394575	SHD	SHD_2856
-0.00688191	-0.00164761	SHD	SHD_2872
-0.00816631	0.0024598	SHD	SHD_2910
-0.00310617	-0.0027842	SHD	SHD_2911
-0.0101283	0.00392017	SHD	SHD_2912
-0.00856965	0.00602167	SHD	SHD_2946
-0.00731297	0.00390955	SHD	SHD_2983
-0.0108794	0.00392421	SHD	SHD_3026
-0.00583422	0.00134214	SHD	SHD_3032
-0.0054669	-0.000209332	SHD	SHD_3042
-0.00493965	-0.00154661	SHD	SHD_3081
-0.00636036	-2.50006e-05	SHD	SHD_3082
-0.00898832	-0.000884944	SHD	SHD_3092
-0.00327858	0.0059568	SHD	SHD_3132
-0.00965325	0.00325611	SHD	SHD_3144
-0.00812002	0.00174802	SHD	SHD_3145
-0.0040585	-0.00124432	SHD	SHD_3150
-0.00482802	0.00167507	SHD	SHD_3155
-0.00802655	0.00617381	SHD	SHD_3165
-0.00883974	0.00111499	SHD	SHD_3182
-0.0132345	0.00787561	SHD	SHD_3186
-0.00973166	0.000952644	SHD	SHD_3215
-0.00906182	0.00410487	SHD	SHD_3216
-0.0117109	0.00373638	SHD	SHD_3225
-0.0115506	0.00667561	SHD	SHD_3230
-0.00673261	0.00100323	SHD	SHD_3238
-0.0082169	0.00372276	SHD	SHD_3243
-0.0104922	0.00610914	SHD	SHD_3255
-0.0113328	0.00465428	SHD	SHD_3260
-0.00707218	0.00300653	SHD	SHD_3298
-0.00184306	-0.00254736	SHD	SHD_3310
-0.0079369	0.0062431	SHD	SHD_3311
-0.00835516	0.000286559	SHD	SHD_3312
-0.00961123	0.00499675	SHD	SHD_3313
-0.00858764	0.00237771	SHD	SHD_3316
-0.00452698	0.0002227	SHD	SHD_3317
-0.0105789	0.000741376	SHD	SHD_3324
-0.00848322	0.00393157	SHD	SHD_3328
-0.00781132	0.00328395	SHD	SHD_3336
-0.0117865	0.00423953	SHD	SHD_3371
-0.00830116	0.00326701	SHD	SHD_3372
-0.0109676	0.00363557	SHD	SHD_3408
-0.0110675	0.00821288	SHD	SHD_3421
-0.00614223	0.00111021	SHD	SHD_3429
-0.00441388	0.00120684	SHD	SHD_3453
-0.0109346	0.00579847	SHD	SHD_3472
-0.00992624	0.00475001	SHD	SHD_3473
-0.00989873	0.00105336	SHD	SHD_3506
-0.00998455	0.00267315	SHD	SHD_3507
-0.00930901	-0.000354881	SHD	SHD_3541
-0.00914666	0.0039685	SHD	SHD_3565
-0.0119595	0.00694617	SHD	SHD_3568
-0.0137724	0.00725272	SHD	SHD_3574
-0.0121946	0.00628554	SHD	SHD_3575
-0.00797557	-0.000362469	SHD	SHD_3585
-0.0100096	0.0066926	SHD	SHD_3653
-0.00977606	0.00701005	SHD	SHD_3657
-0.0102822	0.00475079	SHD	SHD_3662
-0.00766237	0.00597368	SHD	SHD_3665
-0.00881625	0.0045113	SHD	SHD_3676
-0.00889161	0.0023763	SHD	SHD_3687
-0.00965317	0.000720297	SHD	SHD_3689
-0.00961835	0.00365258	SHD	SHD_3697
-0.0114022	0.00369573	SHD	SHD_3702
-0.00548891	-0.00388996	SHD	SHD_3713
-0.00916535	0.00151805	SHD	SHD_3724
-0.00821906	-0.00174701	SHD	SHD_3728
-0.00980357	0.00911778	SHD	SHD_3729
-0.00988415	0.000936891	SHD	SHD_3731
-0.00623336	0.00193648	SHD	SHD_3761
-0.00593649	0.000153741	SHD	SHD_3782
-0.00934702	0.00224359	SHD	SHD_3808
-0.0080471	0.00299329	SHD	SHD_3809
-0.00853857	0.00135794	SHD	SHD_3823
-0.00511136	-0.00402564	SHD	SHD_3840
-0.0110228	0.00387559	SHD	SHD_3844
-0.00756381	-0.000680007	SHD	SHD_3863
-0.012171	0.00232682	SHD	SHD_3868
-0.00678268	0.00296266	SHD	SHD_3886
-0.00400578	-0.00604597	SHD	SHD_3907
-0.00933955	0.00581364	SHD	SHD_3927
-0.00794644	0.00430016	SHD	SHD_3975
-0.0050582	0.001459	SHD	SHD_3995
-0.00606525	-0.00331714	SHD	SHD_4011
-0.011459	0.00832067	SHD	SHD_4033
-0.0113406	0.00482645	SHD	SHD_4042
-0.00276459	-0.00103423	SHD	SHD_4054
-0.0108228	0.00495752	SHD	SHD_4064
-0.00556999	0.00116984	SHD	SHD_4104
-0.00775331	-0.000721973	SHD	SHD_4116
-0.00740868	0.00489736	SHD	SHD_4123
-0.00704743	0.0058017	SHD	SHD_4124
-0.00830464	0.00450173	SHD	SHD_4133
