Taxonomy	GXL_5075	GXL_10938	GXL_8500	GXL_5076	GXL_12940	GXL_7910	GXL_7834	GXL_7837	GXL_13164	GXL_12278	GXL_11720	GXL_4184	GXL_1936	GXL_11714	GXL_10199	GXL_9463	GXL_4092	GXL_10143	GXL_13198	GXL_1001	GXL_5777	GXL_10941	GXL_4337	GXL_4363
Trichodesmium	23	24	60	9	32	23	22	2	4	8	19	48	36	7	25	5	8	7	2	34	12	38	17	54
Moorea	7	12	295	62	28	82	53	116	42	152	50	144	21	27	113	289	393	25	424	39	69	105	16	81
Oscillatoria	152	45	136	29	50	36	88	31	37	64	84	77	73	91	767	55	38	39	93	159	139	67	805	47
Stanieria	5	21	52	26	25	39	37	7	10	8	65	32	8	78	5	1	29	33	61	62	12	49	11	9
Pleurocapsa	0	5	46	17	3	4	75	4	5	14	10	51	7	9	8	6	11	5	3	9	6	20	1	13
Acaryochloris	10	62	11	115	159	131	54	52	5	28	86	24	50	107	28	39	66	50	55	242	81	64	74	52
Chamaesiphon	15	49	34	30	33	12	8	4	100	70	17	26	7	95	16	3	8	61	253	58	31	62	8	30
Leptolyngbya	897	172	1094	284	263	661	584	153	528	329	177	765	461	88	176	530	224	156	213	454	415	505	80	491
Synechocystis	116	143	55	55	78	42	179	7	21	49	68	75	91	18	74	27	71	14	40	30	25	96	3	135
Prochlorococcus	100	31	92	66	43	42	162	12	11	37	32	72	30	81	26	26	22	20	17	23	18	90	14	22
Halomicronema	114	50	62	47	83	45	82	2	14	7	147	79	24	42	12	33	15	13	90	12	35	144	33	25
Pseudanabaena	4	75	41	38	6	14	1	10	9	6	102	28	57	8	40	41	9	9	8	75	65	48	7	145
Cyanobium	153	327	141	141	194	212	295	72	209	66	405	255	309	139	179	114	275	74	109	295	432	315	167	308
Dactylococcopsis	1	7	21	9	15	6	49	2	4	4	6	27	7	4	10	2	0	19	8	6	26	13	8	4
Synechococcus	834	1426	894	1036	998	1303	1019	1294	762	523	966	1492	1226	539	995	1739	765	462	768	1820	1563	1423	760	2055
Thermosynechococcus	23	58	33	42	60	47	37	49	12	17	63	24	29	77	59	76	45	65	45	26	20	47	44	173
Calditerrivibrio	3	31	36	75	9	26	37	0	1	4	11	18	32	25	1	0	22	0	6	84	3	49	5	2
Deferribacter	6	15	177	21	4	15	44	2	5	6	47	29	1	9	26	2	17	1	6	10	12	44	9	8
Denitrovibrio	54	9	72	36	20	64	111	17	26	7	92	60	44	27	13	6	22	3	38	32	9	100	10	97
Flexistipes	11	55	14	103	184	156	34	61	29	38	92	27	51	143	28	25	36	58	51	261	89	79	67	86
Deinococcus	1379	2949	1175	1884	2321	3166	1860	2709	2169	1481	2597	4190	2594	1246	2229	3764	1589	1466	2134	4018	3889	2713	2490	5175
Truepera	104	528	94	185	144	448	184	202	294	248	415	551	343	184	247	451	181	166	366	331	493	311	279	710
Marinithermus	18	57	21	173	125	139	115	64	106	25	110	181	79	39	64	281	15	42	29	104	316	188	85	127
Meiothermus	239	374	215	292	254	152	190	84	80	143	286	385	276	93	340	207	139	144	128	277	265	259	138	416
Oceanithermus	622	104	127	208	126	172	481	34	97	97	278	185	174	124	216	87	151	73	113	101	212	165	363	332
Thermus	263	436	331	521	420	722	473	132	473	311	670	1199	589	251	298	773	303	266	425	749	946	802	302	875
Dictyoglomus	4	63	19	115	143	158	25	51	16	26	91	29	109	102	16	47	35	86	79	261	70	59	66	62
Elusimicrobium	355	220	20	7	46	20	45	8	3	26	495	16	180	67	61	27	9	4	13	271	59	54	58	1072
Endomicrobium	13	63	40	35	124	38	11	68	11	22	51	35	90	60	102	28	42	91	96	51	172	27	26	124
Fibrobacter	170	645	888	145	103	143	318	37	34	35	190	115	82	470	137	223	119	73	132	363	5929	1451	62	180
Alicyclobacillus	1361	415	400	544	384	557	756	221	215	259	633	604	534	88	359	173	398	160	307	229	317	380	613	777
Kyrpidia	81	104	109	60	96	42	63	14	15	28	127	177	124	67	69	40	90	38	76	59	107	151	112	86
Tumebacillus	81	390	267	417	345	165	238	109	53	201	315	168	491	144	290	238	151	211	158	254	538	233	438	398
Aeribacillus	7	52	22	43	9	30	27	3	3	33	35	131	18	19	22	128	30	7	55	122	9	27	29	106
Amphibacillus	16	6	3	22	16	25	23	5	2	12	8	21	11	6	1	9	1	2	5	12	14	13	9	1
Anoxybacillus	295	193	203	214	199	249	296	54	72	69	83	500	121	104	96	212	91	91	149	210	190	245	116	194
Bacillus	2406	3496	3678	4173	4933	4488	4429	2644	2310	2151	3610	3875	3369	4034	3792	2420	2589	2347	4889	4883	4512	3942	5275	4573
Fictibacillus	98	33	145	28	27	81	82	5	18	43	27	94	28	26	17	14	63	30	103	50	29	109	15	33
Geobacillus	175	600	315	374	361	459	289	756	274	161	1028	659	709	302	322	500	185	325	786	449	629	522	462	493
Halobacillus	10	73	54	255	81	158	41	82	14	163	74	25	43	101	52	31	75	240	89	218	37	51	62	115
Lentibacillus	90	29	23	56	16	50	56	6	25	567	54	24	47	15	15	6	3	35	23	18	34	54	44	41
Lysinibacillus	132	155	171	167	186	241	207	96	137	78	94	178	145	72	176	133	76	63	47	183	100	160	202	127
Oceanobacillus	181	53	207	208	246	138	121	48	34	72	68	70	113	56	111	95	25	180	89	169	135	97	40	95
Parageobacillus	12	11	46	54	38	8	35	502	18	40	56	33	10	54	148	131	26	26	17	28	148	35	9	30
Paraliobacillus	1	5	22	11	3	6	18	2	1	2	7	12	0	4	3	6	2	7	1	11	3	45	10	6
Salimicrobium	128	24	58	25	83	19	83	21	14	4	48	46	60	68	16	16	34	14	14	36	12	54	6	21
